"CCT(proX)","CCC(proT)","CCA(proU)","CCG(proY)","geneLocus","geneType","geneSymbol"
NA,1,NA,NA,"MTB000156","ncRNA","ncRv3461c"
5,2,5,1,"MTB000157","ncRNA","ncRv3520"
NA,2,1,2,"MTB000158","ncRNA","ncRv3648c"
1,3,1,2,"MTB000159","ncRNA","ncRv13660c"
NA,3,1,NA,"MTB000160","ncRNA","ncRv13722c"
1,2,1,3,"MTB000161","ncRNA","ncRv3804c"
4,9,6,8,"Rv0001","CDS","dnaA"
6,2,6,13,"Rv0002","CDS","dnaN"
4,4,2,5,"Rv0003","CDS","recF"
1,2,3,5,"Rv0004","CDS","Rv0004"
NA,7,NA,13,"Rv0005","CDS","gyrB"
2,7,3,17,"Rv0006","CDS","gyrA"
1,6,4,19,"Rv0007","CDS","Rv0007"
NA,1,2,6,"Rv0008c","CDS","Rv0008c"
NA,5,1,6,"Rv0009","CDS","ppiA"
1,2,2,NA,"Rv0010c","CDS","Rv0010c"
NA,3,NA,2,"Rv0011c","CDS","Rv0011c"
2,6,1,7,"Rv0012","CDS","Rv0012"
2,3,2,6,"Rv0013","CDS","trpG"
4,16,8,17,"Rv0014c","CDS","pknB"
3,11,1,26,"Rv0015c","CDS","pknA"
4,11,9,15,"Rv0016c","CDS","pbpA"
NA,9,4,12,"Rv0017c","CDS","rodA"
6,13,7,23,"Rv0018c","CDS","pstP"
NA,NA,NA,5,"Rv0019c","CDS","fhaB"
6,23,6,22,"Rv0020c","CDS","fhaA"
NA,3,3,8,"Rv0021c","CDS","Rv0021c"
NA,4,1,6,"Rv0022c","CDS","whiB5"
3,2,1,5,"Rv0023","CDS","Rv0023"
NA,5,NA,10,"Rv0024","CDS","Rv0024"
NA,1,NA,2,"Rv0025","CDS","Rv0025"
NA,11,5,21,"Rv0026","CDS","Rv0026"
2,NA,NA,1,"Rv0027","CDS","Rv0027"
NA,3,NA,1,"Rv0028","CDS","Rv0028"
1,7,2,11,"Rv0029","CDS","Rv0029"
NA,NA,NA,2,"Rv0030","CDS","Rv0030"
NA,NA,1,5,"Rv0031","CDS","Rv0031"
4,9,4,20,"Rv0032","CDS","bioF2"
NA,1,1,1,"Rv0033","CDS","acpA"
NA,1,NA,2,"Rv0034","CDS","Rv0034"
2,12,6,7,"Rv0035","CDS","fadD34"
4,3,4,8,"Rv0036c","CDS","Rv0036c"
2,9,NA,9,"Rv0037c","CDS","Rv0037c"
NA,4,2,10,"Rv0038","CDS","Rv0038"
NA,5,NA,NA,"Rv0039c","CDS","Rv0039c"
4,15,5,22,"Rv0040c","CDS","mtc28"
11,14,8,29,"Rv0041","CDS","leuS"
2,4,2,5,"Rv0042c","CDS","Rv0042c"
3,6,1,7,"Rv0043c","CDS","Rv0043c"
1,5,2,7,"Rv0044c","CDS","Rv0044c"
1,2,2,9,"Rv0045c","CDS","Rv0045c"
1,4,1,13,"Rv0046c","CDS","ino1"
NA,2,2,4,"Rv0047c","CDS","Rv0047c"
NA,8,NA,8,"Rv0048c","CDS","Rv0048c"
1,3,NA,2,"Rv0049","CDS","Rv0049"
2,16,5,34,"Rv0050","CDS","ponA1"
1,9,4,24,"Rv0051","CDS","Rv0051"
NA,2,2,5,"Rv0052","CDS","Rv0052"
NA,NA,1,3,"Rv0053","CDS","rpsF"
1,2,1,6,"Rv0054","CDS","ssb"
NA,1,NA,3,"Rv0055","CDS","rpsR1"
NA,1,1,4,"Rv0056","CDS","rplI"
NA,3,3,5,"Rv0057","CDS","Rv0057"
1,15,4,26,"Rv0058","CDS","dnaB"
3,6,1,5,"Rv0059","CDS","Rv0059"
1,7,4,5,"Rv0060","CDS","Rv0060"
2,5,3,7,"Rv0061c","CDS","Rv0061c"
3,12,1,13,"Rv0062","CDS","celA1"
1,6,2,20,"Rv0063","CDS","Rv0063"
NA,1,1,NA,"Rv0064A","CDS","vapB1"
NA,17,5,52,"Rv0064","CDS","Rv0064"
1,NA,1,5,"Rv0065","CDS","vapC1"
NA,11,2,24,"Rv0066c","CDS","icd2"
1,2,NA,3,"Rv0067c","CDS","Rv0067c"
1,6,1,6,"Rv0068","CDS","Rv0068"
1,7,4,8,"Rv0069c","CDS","sdaA"
3,7,2,12,"Rv0070c","CDS","glyA2"
1,10,NA,8,"Rv0071","CDS","Rv0071"
2,8,4,9,"Rv0072","CDS","Rv0072"
1,4,2,8,"Rv0073","CDS","Rv0073"
NA,7,3,13,"Rv0074","CDS","Rv0074"
2,4,3,19,"Rv0075","CDS","Rv0075"
NA,2,1,4,"Rv0076c","CDS","Rv0076c"
3,4,NA,12,"Rv0077c","CDS","Rv0077c"
1,2,1,2,"Rv0078A","CDS","Rv0078A"
NA,2,NA,1,"Rv0078B","CDS","Rv0078B"
NA,2,NA,5,"Rv0078","CDS","Rv0078"
1,5,5,14,"Rv0079","CDS","Rv0079"
NA,2,1,6,"Rv0080","CDS","Rv0080"
NA,1,NA,2,"Rv0081","CDS","Rv0081"
NA,6,2,6,"Rv0082","CDS","Rv0082"
NA,6,2,26,"Rv0083","CDS","Rv0083"
1,5,2,8,"Rv0084","CDS","hycD"
NA,1,NA,6,"Rv0085","CDS","hycP"
NA,3,1,11,"Rv0086","CDS","hycQ"
1,17,3,10,"Rv0087","CDS","hycE"
NA,3,1,8,"Rv0088","CDS","Rv0088"
NA,8,NA,6,"Rv0089","CDS","Rv0089"
NA,1,NA,6,"Rv0090","CDS","Rv0090"
NA,5,2,5,"Rv0091","CDS","mtn"
1,11,3,15,"Rv0092","CDS","ctpA"
2,6,NA,10,"Rv0093c","CDS","Rv0093c"
NA,17,2,3,"Rv0094c","CDS","Rv0094c"
1,3,NA,2,"Rv0095c","CDS","Rv0095c"
3,18,4,15,"Rv0096","CDS","PPE1"
5,6,3,11,"Rv0097","CDS","Rv0097"
NA,2,NA,6,"Rv0098","CDS","fcoT"
4,8,5,12,"Rv0099","CDS","fadD10"
NA,NA,NA,2,"Rv0100","CDS","Rv0100"
10,39,15,89,"Rv0101","CDS","nrp"
NA,8,4,23,"Rv0102","CDS","Rv0102"
2,9,4,14,"Rv0103c","CDS","ctpB"
2,8,1,9,"Rv0104","CDS","Rv0104"
NA,1,NA,3,"Rv0105c","CDS","rpmB1"
3,4,3,14,"Rv0106","CDS","Rv0106"
8,26,12,57,"Rv0107c","CDS","ctpI"
NA,1,NA,2,"Rv0108c","CDS","Rv0108c"
1,6,2,8,"Rv0109","CDS","PE_PGRS1"
1,3,2,5,"Rv0110","CDS","Rv0110"
2,12,7,26,"Rv0111","CDS","Rv0111"
NA,3,2,10,"Rv0112","CDS","gca"
1,1,1,2,"Rv0113","CDS","gmhA"
NA,2,1,4,"Rv0114","CDS","gmhB"
2,5,2,10,"Rv0115","CDS","hddA"
1,6,4,8,"Rv0116c","CDS","ldtA"
1,2,1,12,"Rv0117","CDS","oxyS"
2,11,2,20,"Rv0118c","CDS","oxcA"
2,13,2,20,"Rv0119","CDS","fadD7"
2,12,2,25,"Rv0120c","CDS","fusA2"
NA,3,2,4,"Rv0121c","CDS","Rv0121c"
NA,1,NA,2,"Rv0122","CDS","Rv0122"
1,2,2,1,"Rv0123","CDS","Rv0123"
NA,8,1,5,"Rv0124","CDS","PE_PGRS2"
2,10,1,9,"Rv0125","CDS","pepA"
4,14,6,22,"Rv0126","CDS","treS"
NA,4,5,15,"Rv0127","CDS","mak"
NA,4,NA,4,"Rv0128","CDS","Rv0128"
1,9,3,15,"Rv0129c","CDS","fbpC"
NA,2,1,4,"Rv0130","CDS","htdZ"
1,3,NA,17,"Rv0131c","CDS","fadE1"
NA,10,2,11,"Rv0132c","CDS","fgd2"
1,6,1,8,"Rv0133","CDS","Rv0133"
1,9,NA,10,"Rv0134","CDS","ephF"
1,2,3,5,"Rv0135c","CDS","Rv0135c"
3,8,2,18,"Rv0136","CDS","cyp138"
NA,9,NA,2,"Rv0137c","CDS","msrA"
1,3,NA,3,"Rv0138","CDS","Rv0138"
2,5,3,8,"Rv0139","CDS","Rv0139"
2,1,NA,7,"Rv0140","CDS","Rv0140"
NA,NA,NA,5,"Rv0141c","CDS","Rv0141c"
1,8,2,17,"Rv0142","CDS","Rv0142"
1,7,2,19,"Rv0143c","CDS","Rv0143c"
1,4,2,12,"Rv0144","CDS","Rv0144"
1,4,2,7,"Rv0145","CDS","Rv0145"
NA,7,1,7,"Rv0146","CDS","Rv0146"
NA,7,2,22,"Rv0147","CDS","Rv0147"
NA,3,NA,6,"Rv0148","CDS","Rv0148"
NA,1,NA,NA,"Rv0148","promoter","Rv0148"
1,5,NA,14,"Rv0149","CDS","Rv0149"
2,3,NA,3,"Rv0150c","CDS","Rv0150c"
1,15,10,34,"Rv0151c","CDS","PE1"
6,10,8,29,"Rv0152c","CDS","PE2"
NA,2,3,6,"Rv0153c","CDS","ptbB"
NA,3,NA,16,"Rv0154c","CDS","fadE2"
1,7,1,11,"Rv0155","CDS","pntAa"
NA,3,2,1,"Rv0156","CDS","pntAb"
1,1,NA,5,"Rv0157A","CDS","Rv0157A"
NA,5,NA,16,"Rv0157","CDS","pntB"
NA,3,1,3,"Rv0158","CDS","Rv0158"
NA,12,8,21,"Rv0159c","CDS","PE3"
1,13,3,33,"Rv0160c","CDS","PE4"
2,8,1,9,"Rv0161","CDS","Rv0161"
2,8,3,18,"Rv0162c","CDS","adhE1"
2,1,NA,8,"Rv0163","CDS","Rv0163"
NA,3,3,3,"Rv0164","CDS","TB18.5"
2,2,1,5,"Rv0165c","CDS","mce1R"
NA,10,5,15,"Rv0166","CDS","fadD5"
NA,2,NA,6,"Rv0167","CDS","yrbE1A"
NA,2,1,4,"Rv0168","CDS","yrbE1B"
1,10,3,19,"Rv0169","CDS","mce1A"
NA,1,2,9,"Rv0170","CDS","mce1B"
1,19,10,45,"Rv0171","CDS","mce1C"
6,15,7,31,"Rv0172","CDS","mce1D"
NA,6,2,16,"Rv0173","CDS","lprK"
3,14,4,32,"Rv0174","CDS","mce1F"
NA,1,1,2,"Rv0175","CDS","Rv0175"
1,8,2,10,"Rv0176","CDS","Rv0176"
NA,2,NA,7,"Rv0177","CDS","Rv0177"
NA,1,1,4,"Rv0178","CDS","Rv0178"
1,5,2,11,"Rv0179c","CDS","lprO"
NA,9,5,13,"Rv0180c","CDS","Rv0180c"
NA,8,1,3,"Rv0181c","CDS","Rv0181c"
3,10,NA,12,"Rv0182c","CDS","sigG"
1,4,2,10,"Rv0183","CDS","Rv0183"
1,4,NA,4,"Rv0184","CDS","Rv0184"
NA,4,3,6,"Rv0185","CDS","Rv0185"
NA,NA,1,1,"Rv0186A","CDS","mymT"
3,13,5,26,"Rv0186","CDS","bglS"
NA,5,1,5,"Rv0187","CDS","Rv0187"
1,1,2,2,"Rv0188","CDS","Rv0188"
1,7,3,18,"Rv0189c","CDS","ilvD"
1,NA,NA,NA,"Rv0190","CDS","Rv0190"
1,6,4,10,"Rv0191","CDS","Rv0191"
NA,4,NA,4,"Rv0192A","CDS","Rv0192A"
2,9,3,32,"Rv0192","CDS","Rv0192"
NA,11,6,16,"Rv0193c","CDS","Rv0193c"
2,16,1,30,"Rv0194","CDS","Rv0194"
2,2,NA,5,"Rv0195","CDS","Rv0195"
NA,1,1,7,"Rv0196","CDS","Rv0196"
4,17,3,22,"Rv0197","CDS","Rv0197"
2,7,4,17,"Rv0198c","CDS","zmp1"
1,4,2,4,"Rv0199","CDS","Rv0199"
NA,4,1,6,"Rv0200","CDS","Rv0200"
1,3,1,5,"Rv0201c","CDS","Rv0201c"
4,18,2,32,"Rv0202c","CDS","mmpL11"
NA,1,2,5,"Rv0203","CDS","Rv0203"
2,9,4,15,"Rv0204c","CDS","Rv0204c"
NA,NA,NA,15,"Rv0205","CDS","Rv0205"
3,12,12,39,"Rv0206c","CDS","mmpL3"
3,1,4,8,"Rv0207c","CDS","Rv0207c"
1,10,NA,10,"Rv0208c","CDS","Rv0208c"
1,6,NA,12,"Rv0209","CDS","Rv0209"
1,4,3,14,"Rv0210","CDS","Rv0210"
1,10,1,25,"Rv0211","CDS","pckA"
NA,10,1,11,"Rv0212c","CDS","nadR"
2,8,1,7,"Rv0213c","CDS","Rv0213c"
2,8,6,22,"Rv0214","CDS","fadD4"
1,3,1,10,"Rv0215c","CDS","fadE3"
1,7,3,11,"Rv0216","CDS","Rv0216"
2,8,4,9,"Rv0217c","CDS","lipW"
2,11,2,20,"Rv0218","CDS","Rv0218"
NA,3,2,5,"Rv0219","CDS","Rv0219"
NA,7,4,15,"Rv0220","CDS","lipC"
5,3,4,20,"Rv0221","CDS","Rv0221"
2,2,NA,10,"Rv0222","CDS","echA1"
1,10,1,22,"Rv0223c","CDS","Rv0223c"
2,5,3,8,"Rv0224c","CDS","Rv0224c"
1,5,4,9,"Rv0225","CDS","Rv0225"
3,15,3,15,"Rv0226c","CDS","Rv0226c"
1,13,4,18,"Rv0227c","CDS","Rv0227c"
1,8,NA,22,"Rv0228","CDS","Rv0228"
1,2,1,5,"Rv0229c","CDS","Rv0229c"
1,4,1,10,"Rv0230c","CDS","php"
1,9,3,8,"Rv0231","CDS","fadE4"
2,3,1,7,"Rv0232","CDS","Rv0232"
NA,5,2,6,"Rv0233","CDS","nrdB"
NA,8,3,17,"Rv0234c","CDS","gabD1"
4,7,4,25,"Rv0235c","CDS","Rv0235c"
NA,2,1,2,"Rv0236A","CDS","Rv0236A"
4,45,4,74,"Rv0236c","CDS","aftD"
1,9,3,17,"Rv0237","CDS","lpqI"
NA,NA,NA,5,"Rv0238","CDS","Rv0238"
NA,1,1,4,"Rv0239","CDS","vapB24"
2,2,NA,3,"Rv0240","CDS","vapC24"
NA,11,1,15,"Rv0241c","CDS","htdX"
NA,6,3,12,"Rv0242c","CDS","fabG4"
2,3,NA,13,"Rv0243","CDS","fadA2"
NA,8,NA,11,"Rv0244c","CDS","fadE5"
NA,2,NA,8,"Rv0245","CDS","Rv0245"
4,7,4,4,"Rv0246","CDS","Rv0246"
NA,3,3,7,"Rv0247c","CDS","Rv0247c"
NA,8,4,15,"Rv0248c","CDS","Rv0248c"
1,4,4,9,"Rv0249c","CDS","Rv0249c"
NA,2,NA,2,"Rv0250c","CDS","Rv0250c"
2,3,1,4,"Rv0251c","CDS","hsp"
4,12,3,12,"Rv0252","CDS","nirB"
NA,1,NA,6,"Rv0253","CDS","nirD"
1,3,2,2,"Rv0254c","CDS","cobU"
NA,9,3,16,"Rv0255c","CDS","cobQ1"
4,19,12,33,"Rv0256c","CDS","PPE2"
3,1,3,4,"Rv0257","CDS","Rv0257"
NA,2,1,6,"Rv0258c","CDS","Rv0258c"
1,6,1,7,"Rv0259c","CDS","Rv0259c"
2,5,5,10,"Rv0260c","CDS","Rv0260c"
2,4,1,10,"Rv0261c","CDS","narK3"
NA,3,2,1,"Rv0262c","CDS","aac"
1,8,1,15,"Rv0263c","CDS","Rv0263c"
NA,7,2,6,"Rv0264c","CDS","Rv0264c"
1,9,2,11,"Rv0265c","CDS","Rv0265c"
1,19,5,36,"Rv0266c","CDS","oplA"
1,7,1,16,"Rv0267","CDS","narU"
2,2,NA,5,"Rv0268c","CDS","Rv0268c"
1,10,1,20,"Rv0269c","CDS","Rv0269c"
1,13,2,20,"Rv0270","CDS","fadD2"
2,9,2,27,"Rv0271c","CDS","fadE6"
NA,8,1,16,"Rv0272c","CDS","Rv0272c"
1,1,1,2,"Rv0273c","CDS","Rv0273c"
2,6,NA,6,"Rv0274","CDS","Rv0274"
1,3,2,6,"Rv0275c","CDS","Rv0275c"
NA,6,2,16,"Rv0276","CDS","Rv0276"
NA,1,2,1,"Rv0277A","CDS","vapB25"
1,5,2,5,"Rv0277c","CDS","vapC25"
2,5,2,8,"Rv0278c","CDS","PE_PGRS3"
NA,9,2,6,"Rv0279c","CDS","PE_PGRS4"
3,9,5,33,"Rv0280","CDS","PPE3"
1,3,4,10,"Rv0281","CDS","Rv0281"
2,8,1,9,"Rv0282","CDS","eccA3"
2,12,3,31,"Rv0283","CDS","eccB3"
5,26,10,60,"Rv0284","CDS","eccC3"
NA,NA,NA,5,"Rv0285","CDS","PE5"
2,13,2,26,"Rv0286","CDS","PPE4"
NA,NA,1,NA,"Rv0287","CDS","esxG"
NA,1,NA,NA,"Rv0288","CDS","esxH"
2,3,2,14,"Rv0289","CDS","espG3"
1,11,4,16,"Rv0290","CDS","eccD3"
1,14,3,25,"Rv0291","CDS","mycP3"
6,7,2,9,"Rv0292","CDS","eccE3"
3,12,2,12,"Rv0293c","CDS","Rv0293c"
2,6,3,9,"Rv0294","CDS","tam"
1,9,1,11,"Rv0295c","CDS","Rv0295c"
1,10,3,20,"Rv0296c","CDS","Rv0296c"
1,8,1,7,"Rv0297","CDS","PE_PGRS5"
NA,NA,NA,1,"Rv0298","CDS","Rv0298"
NA,3,2,3,"Rv0299","CDS","Rv0299"
NA,2,NA,NA,"Rv0300","CDS","vapB2"
2,1,NA,6,"Rv0301","CDS","vapC2"
NA,5,1,5,"Rv0302","CDS","Rv0302"
1,4,1,13,"Rv0303","CDS","Rv0303"
2,28,5,37,"Rv0304c","CDS","PPE5"
2,14,5,16,"Rv0305c","CDS","PPE6"
NA,6,4,4,"Rv0306","CDS","Rv0306"
1,NA,NA,8,"Rv0307c","CDS","Rv0307c"
1,2,2,11,"Rv0308","CDS","Rv0308"
1,4,2,9,"Rv0309","CDS","Rv0309"
NA,NA,1,4,"Rv0310c","CDS","Rv0310c"
NA,6,2,20,"Rv0311","CDS","Rv0311"
3,16,11,41,"Rv0312","CDS","Rv0312"
NA,1,1,5,"Rv0313","CDS","Rv0313"
NA,2,5,14,"Rv0314c","CDS","Rv0314c"
2,9,1,19,"Rv0315","CDS","Rv0315"
1,6,1,17,"Rv0316","CDS","Rv0316"
NA,3,2,5,"Rv0317c","CDS","glpQ2"
1,1,2,5,"Rv0318c","CDS","Rv0318c"
NA,5,3,9,"Rv0319","CDS","pcp"
NA,8,NA,6,"Rv0320","CDS","Rv0320"
1,5,NA,8,"Rv0321","CDS","dcd"
1,8,2,8,"Rv0322","CDS","udgA"
NA,7,NA,4,"Rv0323c","CDS","Rv0323c"
NA,1,NA,6,"Rv0324","CDS","Rv0324"
NA,NA,1,4,"Rv0325","CDS","Rv0325"
1,3,NA,2,"Rv0326","CDS","Rv0326"
2,12,8,10,"Rv0327c","CDS","cyp135A1"
NA,1,NA,6,"Rv0328","CDS","Rv0328"
NA,8,2,4,"Rv0329c","CDS","Rv0329c"
2,5,NA,8,"Rv0330c","CDS","Rv0330c"
4,10,2,12,"Rv0331","CDS","Rv0331"
1,1,3,12,"Rv0332","CDS","Rv0332"
NA,NA,NA,1,"Rv0333","CDS","Rv0333"
1,2,1,9,"Rv0334","CDS","rmlA"
NA,2,7,9,"Rv0335c","CDS","PE6"
4,11,4,18,"Rv0336","CDS","Rv0336"
NA,12,4,11,"Rv0337c","CDS","aspC"
5,23,9,32,"Rv0338c","CDS","Rv0338c"
NA,6,8,29,"Rv0339c","CDS","Rv0339c"
NA,7,4,8,"Rv0340","CDS","Rv0340"
2,6,1,23,"Rv0341","CDS","iniB"
NA,11,2,14,"Rv0342","CDS","iniA"
2,2,2,17,"Rv0343","CDS","iniC"
3,2,2,13,"Rv0344c","CDS","lpqJ"
1,1,NA,4,"Rv0345","CDS","Rv0345"
NA,6,4,12,"Rv0346c","CDS","ansP2"
5,6,6,9,"Rv0347","CDS","Rv0347"
NA,5,1,1,"Rv0348","CDS","Rv0348"
NA,4,4,8,"Rv0349","CDS","Rv0349"
1,9,NA,13,"Rv0350","CDS","dnaK"
1,3,1,4,"Rv0351","CDS","grpE"
2,9,2,13,"Rv0352","CDS","dnaJ1"
NA,NA,1,3,"Rv0353","CDS","hspR"
1,5,NA,2,"Rv0354c","CDS","PPE7"
