"CCT(proX)","CCC(proT)","CCA(proU)","CCG(proY)","geneSymbol","geneType","geneLocus"
NA,NA,NA,NA,"mcr5","ncRNA","MTB000066"
10,20,20,50,"mcr7","ncRNA","MTB000067"
NA,25,25,50,"mpr11","ncRNA","MTB000068"
33.3333333333333,33.3333333333333,33.3333333333333,NA,"mpr12","ncRNA","MTB000069"
NA,25,50,25,"mpr17","ncRNA","MTB000070"
NA,100,NA,NA,"mpr18","ncRNA","MTB000071"
20,40,20,20,"mcr10","ncRNA","MTB000072"
NA,NA,NA,NA,"mcr16","ncRNA","MTB000073"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"MTS0858","ncRNA","MTB000074"
NA,NA,NA,NA,"ncrMT1234","ncRNA","MTB000075"
NA,50,NA,50,"MTS1082","ncRNA","MTB000076"
60,NA,20,20,"MTS1338","ncRNA","MTB000077"
10,40,20,30,"MTS2823","ncRNA","MTB000078"
NA,20,40,40,"ncrMT3949","ncRNA","MTB000079"
50,NA,50,NA,"MTS2975","ncRNA","MTB000080"
25,12.5,25,37.5,"ncRv10071","ncRNA","MTB000100"
NA,50,NA,50,"ncRv10071c","ncRNA","MTB000101"
NA,NA,40,60,"ncRv10128","ncRNA","MTB000102"
NA,NA,66.6666666666667,33.3333333333333,"ncRv10128c","ncRNA","MTB000103"
50,NA,NA,50,"ncRv10150c","ncRNA","MTB000104"
28.5714285714286,28.5714285714286,14.2857142857143,28.5714285714286,"ncRv0179","ncRNA","MTB000105"
NA,NA,20,80,"ncRv0186c","ncRNA","MTB000106"
NA,100,NA,NA,"ncRv10243","ncRNA","MTB000107"
40,20,20,20,"ncRv0441c","ncRNA","MTB000108"
NA,NA,NA,100,"ncRv10467","ncRNA","MTB000109"
25,NA,NA,75,"ncRv0490","ncRNA","MTB000110"
66.6666666666667,33.3333333333333,NA,NA,"ncRv10609","ncRNA","MTB000111"
33.3333333333333,33.3333333333333,33.3333333333333,NA,"ncRv10637","ncRNA","MTB000112"
NA,NA,NA,NA,"ncRv0638","ncRNA","MTB000113"
NA,60,20,20,"ncRv0641","ncRNA","MTB000114"
33.3333333333333,NA,NA,66.6666666666667,"ncRv10666","ncRNA","MTB000115"
NA,NA,100,NA,"ncRv10685","ncRNA","MTB000116"
NA,40,40,20,"ncRv10699","ncRNA","MTB000117"
20,40,NA,40,"ncRv0724","ncRNA","MTB000118"
20,20,20,40,"ncRv0810c","ncRNA","MTB000119"
NA,100,NA,NA,"ncRv10860","ncRNA","MTB000120"
NA,100,NA,NA,"ncRv0897","ncRNA","MTB000121"
NA,57.1428571428571,NA,42.8571428571429,"ncRv0952","ncRNA","MTB000122"
100,NA,NA,NA,"ncRv10996","ncRNA","MTB000123"
25,25,25,25,"ncRv11042c","ncRNA","MTB000124"
100,NA,NA,NA,"ncRv1072","ncRNA","MTB000125"
NA,66.6666666666667,NA,33.3333333333333,"ncRv11144c","ncRNA","MTB000126"
NA,33.3333333333333,NA,66.6666666666667,"ncRv11147c","ncRNA","MTB000127"
33.3333333333333,33.3333333333333,NA,33.3333333333333,"ncRv11179c","ncRNA","MTB000128"
33.3333333333333,33.3333333333333,33.3333333333333,NA,"ncRv11199","ncRNA","MTB000129"
NA,42.8571428571429,NA,57.1428571428571,"ncRv11264c","ncRNA","MTB000130"
NA,NA,NA,100,"ncRv1298","ncRNA","MTB000131"
NA,NA,50,50,"ncRv11298","ncRNA","MTB000132"
NA,50,50,NA,"ncRv11315","ncRNA","MTB000133"
NA,100,NA,NA,"ncRv1329","ncRNA","MTB000134"
16.6666666666667,16.6666666666667,16.6666666666667,50,"ncRv1389","ncRNA","MTB000135"
NA,NA,NA,100,"ncRv1501","ncRNA","MTB000136"
25,25,25,25,"ncRv1617","ncRNA","MTB000137"
NA,NA,25,75,"ncRv1621c","ncRNA","MTB000138"
50,NA,25,25,"ncRv11733","ncRNA","MTB000139"
NA,NA,NA,100,"ncRv11793","ncRNA","MTB000140"
NA,100,NA,NA,"ncRv1821","ncRNA","MTB000141"
28.5714285714286,28.5714285714286,14.2857142857143,28.5714285714286,"ncRv11846","ncRNA","MTB000142"
50,50,NA,NA,"ncRv12023","ncRNA","MTB000143"
NA,66.6666666666667,33.3333333333333,NA,"ncRv12220","ncRNA","MTB000144"
33.3333333333333,33.3333333333333,NA,33.3333333333333,"ncRv12459","ncRNA","MTB000145"
NA,33.3333333333333,NA,66.6666666666667,"ncRv12557","ncRNA","MTB000146"
NA,66.6666666666667,33.3333333333333,NA,"ncRv12641","ncRNA","MTB000147"
28.5714285714286,28.5714285714286,28.5714285714286,14.2857142857143,"ncRv12783c","ncRNA","MTB000148"
NA,NA,33.3333333333333,66.6666666666667,"ncRv2986c","ncRNA","MTB000149"
NA,NA,NA,100,"ncRv2993c","ncRNA","MTB000150"
NA,100,NA,NA,"ncRv13003c","ncRNA","MTB000151"
NA,20,NA,80,"ncRv3220","ncRNA","MTB000152"
NA,50,NA,50,"ncRv13303","ncRNA","MTB000153"
10,10,20,60,"ncRv13418cA","ncRNA","MTB000154"
16.6666666666667,16.6666666666667,NA,66.6666666666667,"ncRv13418cB","ncRNA","MTB000155"
NA,100,NA,NA,"ncRv3461c","ncRNA","MTB000156"
38.4615384615385,15.3846153846154,38.4615384615385,7.69230769230769,"ncRv3520","ncRNA","MTB000157"
NA,40,20,40,"ncRv3648c","ncRNA","MTB000158"
14.2857142857143,42.8571428571429,14.2857142857143,28.5714285714286,"ncRv13660c","ncRNA","MTB000159"
NA,75,25,NA,"ncRv13722c","ncRNA","MTB000160"
14.2857142857143,28.5714285714286,14.2857142857143,42.8571428571429,"ncRv3804c","ncRNA","MTB000161"
14.8148148148148,33.3333333333333,22.2222222222222,29.6296296296296,"dnaA","CDS","Rv0001"
22.2222222222222,7.40740740740741,22.2222222222222,48.1481481481481,"dnaN","CDS","Rv0002"
26.6666666666667,26.6666666666667,13.3333333333333,33.3333333333333,"recF","CDS","Rv0003"
9.09090909090909,18.1818181818182,27.2727272727273,45.4545454545455,"Rv0004","CDS","Rv0004"
NA,35,NA,65,"gyrB","CDS","Rv0005"
6.89655172413793,24.1379310344828,10.3448275862069,58.6206896551724,"gyrA","CDS","Rv0006"
3.33333333333333,20,13.3333333333333,63.3333333333333,"Rv0007","CDS","Rv0007"
NA,11.1111111111111,22.2222222222222,66.6666666666667,"Rv0008c","CDS","Rv0008c"
NA,41.6666666666667,8.33333333333333,50,"ppiA","CDS","Rv0009"
20,40,40,NA,"Rv0010c","CDS","Rv0010c"
NA,60,NA,40,"Rv0011c","CDS","Rv0011c"
12.5,37.5,6.25,43.75,"Rv0012","CDS","Rv0012"
15.3846153846154,23.0769230769231,15.3846153846154,46.1538461538462,"trpG","CDS","Rv0013"
8.88888888888889,35.5555555555556,17.7777777777778,37.7777777777778,"pknB","CDS","Rv0014c"
7.31707317073171,26.8292682926829,2.4390243902439,63.4146341463415,"pknA","CDS","Rv0015c"
10.2564102564103,28.2051282051282,23.0769230769231,38.4615384615385,"pbpA","CDS","Rv0016c"
NA,36,16,48,"rodA","CDS","Rv0017c"
12.2448979591837,26.530612244898,14.2857142857143,46.9387755102041,"pstP","CDS","Rv0018c"
NA,NA,NA,100,"fhaB","CDS","Rv0019c"
10.5263157894737,40.3508771929825,10.5263157894737,38.5964912280702,"fhaA","CDS","Rv0020c"
NA,21.4285714285714,21.4285714285714,57.1428571428571,"Rv0021c","CDS","Rv0021c"
NA,36.3636363636364,9.09090909090909,54.5454545454545,"whiB5","CDS","Rv0022c"
27.2727272727273,18.1818181818182,9.09090909090909,45.4545454545455,"Rv0023","CDS","Rv0023"
NA,33.3333333333333,NA,66.6666666666667,"Rv0024","CDS","Rv0024"
NA,33.3333333333333,NA,66.6666666666667,"Rv0025","CDS","Rv0025"
NA,29.7297297297297,13.5135135135135,56.7567567567568,"Rv0026","CDS","Rv0026"
66.6666666666667,NA,NA,33.3333333333333,"Rv0027","CDS","Rv0027"
NA,75,NA,25,"Rv0028","CDS","Rv0028"
4.76190476190476,33.3333333333333,9.52380952380952,52.3809523809524,"Rv0029","CDS","Rv0029"
NA,NA,NA,100,"Rv0030","CDS","Rv0030"
NA,NA,16.6666666666667,83.3333333333333,"Rv0031","CDS","Rv0031"
10.8108108108108,24.3243243243243,10.8108108108108,54.0540540540541,"bioF2","CDS","Rv0032"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"acpA","CDS","Rv0033"
NA,33.3333333333333,NA,66.6666666666667,"Rv0034","CDS","Rv0034"
7.40740740740741,44.4444444444444,22.2222222222222,25.9259259259259,"fadD34","CDS","Rv0035"
21.0526315789474,15.7894736842105,21.0526315789474,42.1052631578947,"Rv0036c","CDS","Rv0036c"
10,45,NA,45,"Rv0037c","CDS","Rv0037c"
NA,25,12.5,62.5,"Rv0038","CDS","Rv0038"
NA,100,NA,NA,"Rv0039c","CDS","Rv0039c"
8.69565217391304,32.6086956521739,10.8695652173913,47.8260869565217,"mtc28","CDS","Rv0040c"
17.741935483871,22.5806451612903,12.9032258064516,46.7741935483871,"leuS","CDS","Rv0041"
15.3846153846154,30.7692307692308,15.3846153846154,38.4615384615385,"Rv0042c","CDS","Rv0042c"
17.6470588235294,35.2941176470588,5.88235294117647,41.1764705882353,"Rv0043c","CDS","Rv0043c"
6.66666666666667,33.3333333333333,13.3333333333333,46.6666666666667,"Rv0044c","CDS","Rv0044c"
7.14285714285714,14.2857142857143,14.2857142857143,64.2857142857143,"Rv0045c","CDS","Rv0045c"
5.26315789473684,21.0526315789474,5.26315789473684,68.4210526315789,"ino1","CDS","Rv0046c"
NA,25,25,50,"Rv0047c","CDS","Rv0047c"
NA,50,NA,50,"Rv0048c","CDS","Rv0048c"
16.6666666666667,50,NA,33.3333333333333,"Rv0049","CDS","Rv0049"
3.50877192982456,28.0701754385965,8.7719298245614,59.6491228070175,"ponA1","CDS","Rv0050"
2.63157894736842,23.6842105263158,10.5263157894737,63.1578947368421,"Rv0051","CDS","Rv0051"
NA,22.2222222222222,22.2222222222222,55.5555555555556,"Rv0052","CDS","Rv0052"
NA,NA,25,75,"rpsF","CDS","Rv0053"
10,20,10,60,"ssb","CDS","Rv0054"
NA,25,NA,75,"rpsR1","CDS","Rv0055"
NA,16.6666666666667,16.6666666666667,66.6666666666667,"rplI","CDS","Rv0056"
NA,27.2727272727273,27.2727272727273,45.4545454545455,"Rv0057","CDS","Rv0057"
2.17391304347826,32.6086956521739,8.69565217391304,56.5217391304348,"dnaB","CDS","Rv0058"
20,40,6.66666666666667,33.3333333333333,"Rv0059","CDS","Rv0059"
5.88235294117647,41.1764705882353,23.5294117647059,29.4117647058824,"Rv0060","CDS","Rv0060"
11.7647058823529,29.4117647058824,17.6470588235294,41.1764705882353,"Rv0061c","CDS","Rv0061c"
10.3448275862069,41.3793103448276,3.44827586206897,44.8275862068966,"celA1","CDS","Rv0062"
3.44827586206897,20.6896551724138,6.89655172413793,68.9655172413793,"Rv0063","CDS","Rv0063"
NA,50,50,NA,"vapB1","CDS","Rv0064A"
NA,22.972972972973,6.75675675675676,70.2702702702703,"Rv0064","CDS","Rv0064"
14.2857142857143,NA,14.2857142857143,71.4285714285714,"vapC1","CDS","Rv0065"
NA,29.7297297297297,5.40540540540541,64.8648648648649,"icd2","CDS","Rv0066c"
16.6666666666667,33.3333333333333,NA,50,"Rv0067c","CDS","Rv0067c"
7.14285714285714,42.8571428571429,7.14285714285714,42.8571428571429,"Rv0068","CDS","Rv0068"
5,35,20,40,"sdaA","CDS","Rv0069c"
12.5,29.1666666666667,8.33333333333333,50,"glyA2","CDS","Rv0070c"
5.26315789473684,52.6315789473684,NA,42.1052631578947,"Rv0071","CDS","Rv0071"
8.69565217391304,34.7826086956522,17.3913043478261,39.1304347826087,"Rv0072","CDS","Rv0072"
6.66666666666667,26.6666666666667,13.3333333333333,53.3333333333333,"Rv0073","CDS","Rv0073"
NA,30.4347826086957,13.0434782608696,56.5217391304348,"Rv0074","CDS","Rv0074"
7.14285714285714,14.2857142857143,10.7142857142857,67.8571428571429,"Rv0075","CDS","Rv0075"
NA,28.5714285714286,14.2857142857143,57.1428571428571,"Rv0076c","CDS","Rv0076c"
15.7894736842105,21.0526315789474,NA,63.1578947368421,"Rv0077c","CDS","Rv0077c"
16.6666666666667,33.3333333333333,16.6666666666667,33.3333333333333,"Rv0078A","CDS","Rv0078A"
NA,66.6666666666667,NA,33.3333333333333,"Rv0078B","CDS","Rv0078B"
NA,28.5714285714286,NA,71.4285714285714,"Rv0078","CDS","Rv0078"
4,20,20,56,"Rv0079","CDS","Rv0079"
NA,22.2222222222222,11.1111111111111,66.6666666666667,"Rv0080","CDS","Rv0080"
NA,33.3333333333333,NA,66.6666666666667,"Rv0081","CDS","Rv0081"
NA,42.8571428571429,14.2857142857143,42.8571428571429,"Rv0082","CDS","Rv0082"
NA,17.6470588235294,5.88235294117647,76.4705882352941,"Rv0083","CDS","Rv0083"
6.25,31.25,12.5,50,"hycD","CDS","Rv0084"
NA,14.2857142857143,NA,85.7142857142857,"hycP","CDS","Rv0085"
NA,20,6.66666666666667,73.3333333333333,"hycQ","CDS","Rv0086"
3.2258064516129,54.8387096774194,9.67741935483871,32.258064516129,"hycE","CDS","Rv0087"
NA,25,8.33333333333333,66.6666666666667,"Rv0088","CDS","Rv0088"
NA,57.1428571428571,NA,42.8571428571429,"Rv0089","CDS","Rv0089"
NA,14.2857142857143,NA,85.7142857142857,"Rv0090","CDS","Rv0090"
NA,41.6666666666667,16.6666666666667,41.6666666666667,"mtn","CDS","Rv0091"
3.33333333333333,36.6666666666667,10,50,"ctpA","CDS","Rv0092"
11.1111111111111,33.3333333333333,NA,55.5555555555556,"Rv0093c","CDS","Rv0093c"
NA,77.2727272727273,9.09090909090909,13.6363636363636,"Rv0094c","CDS","Rv0094c"
16.6666666666667,50,NA,33.3333333333333,"Rv0095c","CDS","Rv0095c"
7.5,45,10,37.5,"PPE1","CDS","Rv0096"
20,24,12,44,"Rv0097","CDS","Rv0097"
NA,25,NA,75,"fcoT","CDS","Rv0098"
13.7931034482759,27.5862068965517,17.2413793103448,41.3793103448276,"fadD10","CDS","Rv0099"
NA,NA,NA,100,"Rv0100","CDS","Rv0100"
6.5359477124183,25.4901960784314,9.80392156862745,58.1699346405229,"nrp","CDS","Rv0101"
NA,22.8571428571429,11.4285714285714,65.7142857142857,"Rv0102","CDS","Rv0102"
6.89655172413793,31.0344827586207,13.7931034482759,48.2758620689655,"ctpB","CDS","Rv0103c"
10,40,5,45,"Rv0104","CDS","Rv0104"
NA,25,NA,75,"rpmB1","CDS","Rv0105c"
12.5,16.6666666666667,12.5,58.3333333333333,"Rv0106","CDS","Rv0106"
7.76699029126214,25.2427184466019,11.6504854368932,55.3398058252427,"ctpI","CDS","Rv0107c"
NA,33.3333333333333,NA,66.6666666666667,"Rv0108c","CDS","Rv0108c"
5.88235294117647,35.2941176470588,11.7647058823529,47.0588235294118,"PE_PGRS1","CDS","Rv0109"
9.09090909090909,27.2727272727273,18.1818181818182,45.4545454545455,"Rv0110","CDS","Rv0110"
4.25531914893617,25.531914893617,14.8936170212766,55.3191489361702,"Rv0111","CDS","Rv0111"
NA,20,13.3333333333333,66.6666666666667,"gca","CDS","Rv0112"
20,20,20,40,"gmhA","CDS","Rv0113"
NA,28.5714285714286,14.2857142857143,57.1428571428571,"gmhB","CDS","Rv0114"
10.5263157894737,26.3157894736842,10.5263157894737,52.6315789473684,"hddA","CDS","Rv0115"
5.26315789473684,31.5789473684211,21.0526315789474,42.1052631578947,"ldtA","CDS","Rv0116c"
6.25,12.5,6.25,75,"oxyS","CDS","Rv0117"
5.71428571428571,31.4285714285714,5.71428571428571,57.1428571428571,"oxcA","CDS","Rv0118c"
5.40540540540541,35.1351351351351,5.40540540540541,54.0540540540541,"fadD7","CDS","Rv0119"
4.8780487804878,29.2682926829268,4.8780487804878,60.9756097560976,"fusA2","CDS","Rv0120c"
NA,33.3333333333333,22.2222222222222,44.4444444444444,"Rv0121c","CDS","Rv0121c"
NA,33.3333333333333,NA,66.6666666666667,"Rv0122","CDS","Rv0122"
16.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667,"Rv0123","CDS","Rv0123"
NA,57.1428571428571,7.14285714285714,35.7142857142857,"PE_PGRS2","CDS","Rv0124"
9.09090909090909,45.4545454545455,4.54545454545455,40.9090909090909,"pepA","CDS","Rv0125"
8.69565217391304,30.4347826086957,13.0434782608696,47.8260869565217,"treS","CDS","Rv0126"
NA,16.6666666666667,20.8333333333333,62.5,"mak","CDS","Rv0127"
NA,50,NA,50,"Rv0128","CDS","Rv0128"
3.57142857142857,32.1428571428571,10.7142857142857,53.5714285714286,"fbpC","CDS","Rv0129c"
NA,28.5714285714286,14.2857142857143,57.1428571428571,"htdZ","CDS","Rv0130"
4.76190476190476,14.2857142857143,NA,80.9523809523809,"fadE1","CDS","Rv0131c"
NA,43.4782608695652,8.69565217391304,47.8260869565217,"fgd2","CDS","Rv0132c"
6.25,37.5,6.25,50,"Rv0133","CDS","Rv0133"
5,45,NA,50,"ephF","CDS","Rv0134"
9.09090909090909,18.1818181818182,27.2727272727273,45.4545454545455,"Rv0135c","CDS","Rv0135c"
9.67741935483871,25.8064516129032,6.45161290322581,58.0645161290323,"cyp138","CDS","Rv0136"
NA,81.8181818181818,NA,18.1818181818182,"msrA","CDS","Rv0137c"
14.2857142857143,42.8571428571429,NA,42.8571428571429,"Rv0138","CDS","Rv0138"
11.1111111111111,27.7777777777778,16.6666666666667,44.4444444444444,"Rv0139","CDS","Rv0139"
20,10,NA,70,"Rv0140","CDS","Rv0140"
NA,NA,NA,100,"Rv0141c","CDS","Rv0141c"
3.57142857142857,28.5714285714286,7.14285714285714,60.7142857142857,"Rv0142","CDS","Rv0142"
3.44827586206897,24.1379310344828,6.89655172413793,65.5172413793103,"Rv0143c","CDS","Rv0143c"
5.26315789473684,21.0526315789474,10.5263157894737,63.1578947368421,"Rv0144","CDS","Rv0144"
7.14285714285714,28.5714285714286,14.2857142857143,50,"Rv0145","CDS","Rv0145"
NA,46.6666666666667,6.66666666666667,46.6666666666667,"Rv0146","CDS","Rv0146"
NA,22.5806451612903,6.45161290322581,70.9677419354839,"Rv0147","CDS","Rv0147"
NA,33.3333333333333,NA,66.6666666666667,"Rv0148","CDS","Rv0148"
NA,100,NA,NA,"Rv0148","promoter","Rv0148"
5,25,NA,70,"Rv0149","CDS","Rv0149"
25,37.5,NA,37.5,"Rv0150c","CDS","Rv0150c"
1.66666666666667,25,16.6666666666667,56.6666666666667,"PE1","CDS","Rv0151c"
11.3207547169811,18.8679245283019,15.0943396226415,54.7169811320755,"PE2","CDS","Rv0152c"
NA,18.1818181818182,27.2727272727273,54.5454545454545,"ptbB","CDS","Rv0153c"
NA,15.7894736842105,NA,84.2105263157895,"fadE2","CDS","Rv0154c"
5,35,5,55,"pntAa","CDS","Rv0155"
NA,50,33.3333333333333,16.6666666666667,"pntAb","CDS","Rv0156"
14.2857142857143,14.2857142857143,NA,71.4285714285714,"Rv0157A","CDS","Rv0157A"
NA,23.8095238095238,NA,76.1904761904762,"pntB","CDS","Rv0157"
NA,42.8571428571429,14.2857142857143,42.8571428571429,"Rv0158","CDS","Rv0158"
NA,29.2682926829268,19.5121951219512,51.219512195122,"PE3","CDS","Rv0159c"
2,26,6,66,"PE4","CDS","Rv0160c"
10,40,5,45,"Rv0161","CDS","Rv0161"
6.45161290322581,25.8064516129032,9.67741935483871,58.0645161290323,"adhE1","CDS","Rv0162c"
18.1818181818182,9.09090909090909,NA,72.7272727272727,"Rv0163","CDS","Rv0163"
NA,33.3333333333333,33.3333333333333,33.3333333333333,"TB18.5","CDS","Rv0164"
20,20,10,50,"mce1R","CDS","Rv0165c"
NA,33.3333333333333,16.6666666666667,50,"fadD5","CDS","Rv0166"
NA,25,NA,75,"yrbE1A","CDS","Rv0167"
NA,28.5714285714286,14.2857142857143,57.1428571428571,"yrbE1B","CDS","Rv0168"
3.03030303030303,30.3030303030303,9.09090909090909,57.5757575757576,"mce1A","CDS","Rv0169"
NA,8.33333333333333,16.6666666666667,75,"mce1B","CDS","Rv0170"
1.33333333333333,25.3333333333333,13.3333333333333,60,"mce1C","CDS","Rv0171"
10.1694915254237,25.4237288135593,11.864406779661,52.5423728813559,"mce1D","CDS","Rv0172"
NA,25,8.33333333333333,66.6666666666667,"lprK","CDS","Rv0173"
5.66037735849057,26.4150943396226,7.54716981132075,60.377358490566,"mce1F","CDS","Rv0174"
NA,25,25,50,"Rv0175","CDS","Rv0175"
4.76190476190476,38.0952380952381,9.52380952380952,47.6190476190476,"Rv0176","CDS","Rv0176"
NA,22.2222222222222,NA,77.7777777777778,"Rv0177","CDS","Rv0177"
NA,16.6666666666667,16.6666666666667,66.6666666666667,"Rv0178","CDS","Rv0178"
5.26315789473684,26.3157894736842,10.5263157894737,57.8947368421053,"lprO","CDS","Rv0179c"
NA,33.3333333333333,18.5185185185185,48.1481481481481,"Rv0180c","CDS","Rv0180c"
NA,66.6666666666667,8.33333333333333,25,"Rv0181c","CDS","Rv0181c"
12,40,NA,48,"sigG","CDS","Rv0182c"
5.88235294117647,23.5294117647059,11.7647058823529,58.8235294117647,"Rv0183","CDS","Rv0183"
11.1111111111111,44.4444444444444,NA,44.4444444444444,"Rv0184","CDS","Rv0184"
NA,30.7692307692308,23.0769230769231,46.1538461538462,"Rv0185","CDS","Rv0185"
NA,NA,50,50,"mymT","CDS","Rv0186A"
6.38297872340426,27.6595744680851,10.6382978723404,55.3191489361702,"bglS","CDS","Rv0186"
NA,45.4545454545455,9.09090909090909,45.4545454545455,"Rv0187","CDS","Rv0187"
16.6666666666667,16.6666666666667,33.3333333333333,33.3333333333333,"Rv0188","CDS","Rv0188"
3.44827586206897,24.1379310344828,10.3448275862069,62.0689655172414,"ilvD","CDS","Rv0189c"
100,NA,NA,NA,"Rv0190","CDS","Rv0190"
4.76190476190476,28.5714285714286,19.047619047619,47.6190476190476,"Rv0191","CDS","Rv0191"
NA,50,NA,50,"Rv0192A","CDS","Rv0192A"
4.34782608695652,19.5652173913043,6.52173913043478,69.5652173913043,"Rv0192","CDS","Rv0192"
NA,33.3333333333333,18.1818181818182,48.4848484848485,"Rv0193c","CDS","Rv0193c"
4.08163265306122,32.6530612244898,2.04081632653061,61.2244897959184,"Rv0194","CDS","Rv0194"
22.2222222222222,22.2222222222222,NA,55.5555555555556,"Rv0195","CDS","Rv0195"
NA,11.1111111111111,11.1111111111111,77.7777777777778,"Rv0196","CDS","Rv0196"
8.69565217391304,36.9565217391304,6.52173913043478,47.8260869565217,"Rv0197","CDS","Rv0197"
6.66666666666667,23.3333333333333,13.3333333333333,56.6666666666667,"zmp1","CDS","Rv0198c"
9.09090909090909,36.3636363636364,18.1818181818182,36.3636363636364,"Rv0199","CDS","Rv0199"
NA,36.3636363636364,9.09090909090909,54.5454545454545,"Rv0200","CDS","Rv0200"
10,30,10,50,"Rv0201c","CDS","Rv0201c"
7.14285714285714,32.1428571428571,3.57142857142857,57.1428571428571,"mmpL11","CDS","Rv0202c"
NA,12.5,25,62.5,"Rv0203","CDS","Rv0203"
6.66666666666667,30,13.3333333333333,50,"Rv0204c","CDS","Rv0204c"
NA,NA,NA,100,"Rv0205","CDS","Rv0205"
4.54545454545455,18.1818181818182,18.1818181818182,59.0909090909091,"mmpL3","CDS","Rv0206c"
18.75,6.25,25,50,"Rv0207c","CDS","Rv0207c"
